product_id,product_name,brand_name,category,list_price,discount_price,sale_in_30days,rating,no_of_reviews,first_available,rankings,stock_alert
122071,"Kitsch, Strengthening  Solid Conditioner Bar,  Rice Water Protein, White Tea & Mandarin, 1 Bar, 2.7 oz (77 g)",Kitsch,Conditioner,110.51,110.51,750,4.6,367,06/2023,"{'ranking_conditioner': 33, 'ranking_hair_care': 178, 'ranking_bath_&_personal_care': 628}",
108729,"Cantu, Argan Oil Leave-In Conditioning Repair Cream, 16 oz (453 g)",Cantu,Conditioner,66.9,66.9,750,4.5,3908,08/2021,"{'ranking_hair_cream': 9, 'ranking_leave-in_conditioner': 9, 'ranking_hair_styling': 15, 'ranking_conditioner': 36, 'ranking_hair_care': 181}",
6401,"Giovanni, 50:50 Balanced, Hydrating-Calming Conditioner, For Normal to Dry Hair, 8.5 fl oz (250 ml)",Giovanni,Conditioner,71.8,71.8,750,4.6,7224,05/2007,"{'ranking_conditioner': 40, 'ranking_hair_care': 212, 'ranking_bath_&_personal_care': 799}",
108763,"Mielle, Leave-In Conditioner, Pomegranate & Honey, 12 fl oz (355 ml)",Mielle,Conditioner,124.98,124.98,750,4.6,1205,08/2021,"{'ranking_leave-in_conditioner': 14, 'ranking_conditioner': 50, 'ranking_hair_care': 261, 'ranking_bath_&_personal_care': 981}",
109206,"Cantu, Care For Kids, Nourishing Conditioner, For Textured Hair, 8 fl oz (237 ml)",Cantu,Conditioner,48.7,48.7,400,4.7,915,08/2021,"{'ranking_baby_conditioners_&_detanglers': 9, 'ranking_baby_&_kids_bath,_skin,_hair': 40, 'ranking_conditioner': 52, 'ranking_hair_care': 282, 'ranking_baby_&_kids': 539}",
119934,"SheaMoisture, Grapseed & Tea Tree Oils, Low Porosity Weightless Hydrating Conditioner, 13 fl oz (384 ml)",SheaMoisture,Conditioner,93.03,93.03,500,4.6,246,05/2023,"{'ranking_conditioner': 53, 'ranking_hair_care': 287, 'ranking_bath_&_personal_care': 1070}",
125913,"SheaMoisture, Baby, Leave-In Conditioner, Curls & Coils, Raw Shea Chamomile & Argan Oil, 10.3 fl oz (305 ml)",SheaMoisture,Conditioner,71.51,71.51,,4.5,85,11/2023,"{'ranking_baby_conditioners_&_detanglers': 8, 'ranking_leave-in_conditioner': 13, 'ranking_baby_&_kids_bath,_skin,_hair': 36, 'ranking_conditioner': 49, 'ranking_hair_care': 249}",out of stock
109667,"Camille Rose, Curl Love Moisture Milk, Leave-In Conditioning Cream, Rice Milk & Macadamia Oil, 8 oz (240 ml)",Camille Rose,Conditioner,152.55,152.55,500,4.5,769,09/2021,"{'ranking_hair_cream': 14, 'ranking_leave-in_conditioner': 15, 'ranking_hair_styling': 27, 'ranking_conditioner': 55, 'ranking_hair_care': 294}",
108738,"Cantu, Care For Kids, Conditioning Detangler, 6 fl oz (177 ml)",Cantu,Conditioner,48.69,48.69,500,4.6,989,08/2021,"{'ranking_detangler': 3, 'ranking_conditioner': 57, 'ranking_hair_care': 301, 'ranking_bath_&_personal_care': 1129}",
120653,"SheaMoisture, Raw Shea Butter, Deep Moisturizing Leave-In Conditioner, Curly to Coily Hair, 11.5 fl oz (340 ml)",SheaMoisture,Conditioner,107.26,107.26,500,4.6,435,05/2023,"{'ranking_leave-in_conditioner': 16, 'ranking_conditioner': 58, 'ranking_hair_care': 308, 'ranking_bath_&_personal_care': 1170}",
