product_id,product_name,brand_name,category,volume_in_ml,list_price,discount_price,price_per_ml,discount%,sale_in_30days,sales_revenue,rating,no_of_reviews,first_available,stock_alert,ranking_shampoo,ranking_conditioner,ranking_hair_treatments,ranking_hair_styling
138164,"Mielle, Clarifying Sugar Scalp Scrub, Rosemary Mint, 6 oz (170 g)",Mielle,Treatments,178.29545454545453,87.18,87.18,0.49,0.0,2000,174360.0,4.4,1570,2024-01-01,in stock,,,33,
100347,"SheaMoisture, Jamaican Black Castor Oil, Strengthen & Restore Treatment Masque, 2 oz (57 g)",SheaMoisture,Treatments,59.43181818181818,24.85,24.85,0.42,0.0,1000,24850.0,4.7,39072,2020-06-01,in stock,,,35,
100353,"SheaMoisture, Manuka Honey & Mafura Oil Intensive Hydration Hair Masque, 2 oz (57 g)",SheaMoisture,Treatments,59.43181818181818,24.85,24.85,0.42,0.0,1000,24850.0,4.7,13826,2020-07-01,in stock,,,41,
81714,"Giovanni, 2chic, Frizz Be Gone Anti-Frizz Polishing Serum, Shea Butter + Sweet Almond Oil, 2.75 fl oz (81 ml)",Giovanni,Treatments,81.0,78.3,78.3,0.97,0.0,0,0.0,4.6,9060,2018-05-01,out of stock,,,37,
75778,"Giovanni, 2chic, Repairing Super Potion Hair Oil Serum, Blackberry + Coconut Oil, 2.75 fl oz (81 ml)",Giovanni,Treatments,81.0,78.3,78.3,0.97,0.0,1000,78300.0,4.6,16437,2017-07-01,in stock,,,58,
75789,"Giovanni, 2chic, Ultra-Luxurious Super Potion Silkening Hair Serum, Cherry Blossom + Rose Petals, 2.75 fl oz (81 ml)",Giovanni,Treatments,81.0,78.3,78.3,0.97,0.0,1000,78300.0,4.6,8380,2017-07-01,in stock,,,59,
97596,"SheaMoisture, Raw Shea Butter, Deep Moisturizing Masque with Sea Kelp & Argan Oil, 11.5 oz (326 g)",SheaMoisture,Treatments,341.73295454545456,107.25,107.25,0.31,0.0,1000,107250.0,4.6,12652,2020-01-01,in stock,,,60,
75765,"Giovanni, 2chic, Ultra-Moist Super Potion Anti-Frizz & Binding Serum Oil,  Avocado + Olive Oil, 2.75 fl oz (81 ml)",Giovanni,Treatments,81.0,78.3,78.3,0.97,0.0,1000,78300.0,4.6,9401,2017-07-01,in stock,,,68,
102809,"SheaMoisture, Manuka Honey & Yogurt, Hydrate + Repair Protein Power Treatment,  8 fl oz (237 ml)",SheaMoisture,Treatments,237.0,92.86,92.86,0.39,0.0,0,0.0,4.6,1472,2020-11-01,out of stock,,,62,
99303,"SheaMoisture, Deep Treatment Masque, Raw Shea Butter, 2 oz (57 g)",SheaMoisture,Treatments,59.43181818181818,24.85,24.85,0.42,0.0,750,18637.5,4.6,12652,2020-03-01,in stock,,,70,
100210,"Okay Pure Naturals, African Shea Body Butter, White  Smooth, 13 oz (368 g)",Okay Pure Naturals,Treatments,386.3068181818182,72.69,72.69,0.19,0.0,750,54517.5,4.6,2516,2020-06-01,in stock,,,71,
100209,"Okay Pure Naturals, African Shea Body Butter, Yellow Smooth, 13 oz (368 g)",Okay Pure Naturals,Treatments,386.3068181818182,72.7,72.7,0.19,0.0,750,54525.0,4.6,3688,2020-06-01,in stock,,,72,
6891,"Giovanni, Vitapro Fusion, Protective Moisture, Leave-In Hair Treatment, For All Hair Types, 5.1 fl oz (150 ml)",Giovanni,Treatments,150.0,71.78,71.78,0.48,0.0,750,53835.0,4.4,5721,2007-05-01,in stock,,,86,
108741,"Cantu, Shea Butter, Deep Treatment Hair Masque, 1.75 oz (50 g)",Cantu,Treatments,52.00284090909091,15.99,15.99,0.31,0.0,500,7995.0,4.5,7016,2021-08-01,in stock,,,95,
